,Productos,Cantidad,Venta,Etiquetas
58,Producto 59,0.000973151,0.007842907,Comun
59,Producto 60,0.003697952,0.015907505,Exitoso
60,Producto 61,0.001645518,0.016112191,Comun
61,Producto 62,0.002430725,0.016127669,Exitoso
62,Producto 63,0.001372438,0.012441213,Comun
63,Producto 64,0.00038262,0.009097655,Comun
64,Producto 65,0.00849573,0.010623717,Exitoso
65,Producto 66,0.00165232,0.00160513,Comun
66,Producto 67,0.008922305,0.001639279,Comun
67,Producto 68,0.001506554,0.004201244,Comun
68,Producto 69,0.002970905,0.015867344,Exitoso
69,Producto 70,0.0072177,0.005637279,Comun
70,Producto 71,0.008358897,0.00378451,Exitoso
71,Producto 72,0.008245773,0.002924623,Comun
72,Producto 73,0.002887844,0.015312612,Comun
73,Producto 74,0.000562547,0.01250789,Comun
74,Producto 75,0.001916252,0.00643053,Comun
75,Producto 76,0.004750656,0.01417171,Exitoso
76,Producto 77,0.008836066,0.011550796,Exitoso
77,Producto 78,0.009023268,0.00132335,Comun
78,Producto 79,0.006653794,0.014916527,Exitoso
79,Producto 80,0.001617407,0.010368009,Comun
80,Producto 81,0.003224139,0.013385135,Comun
81,Producto 82,0.007705554,0.011726123,Exitoso
82,Producto 83,0.000641194,0.001434286,No Exitoso
83,Producto 84,0.008841371,0.003068378,Comun
84,Producto 85,0.005600215,0.010938714,Comun
85,Producto 86,0.009907173,0.017382036,Exitoso
86,Producto 87,0.00332177,0.00918253,Comun
87,Producto 88,0.007527233,0.012522654,Exitoso
88,Producto 89,0.002804797,0.011184942,Comun
89,Producto 90,0.007931349,0.004184994,Exitoso
90,Producto 91,0.00316414,0.015946251,Exitoso
91,Producto 92,0.000701068,0.001238783,No Exitoso
92,Producto 93,0.004110316,0.003441495,Comun
93,Producto 94,0.008914587,0.009432444,Exitoso
94,Producto 95,0.00413634,0.008847651,Comun
95,Producto 96,0.001701045,0.010325973,Comun
96,Producto 97,0.004569732,0.005694698,Comun
97,Producto 98,0.0099214,0.000717088,Comun
98,Producto 99,0.000900925,0.016161707,Comun
99,Producto 100,0.008482732,0.017029844,Exitoso
100,Producto 101,0.004301884,0.004512069,Comun
101,Producto 102,0.00756728,0.001659652,Comun
102,Producto 103,0.001715549,0.001046447,Comun
103,Producto 104,0.000737402,0.01255162,Comun
104,Producto 105,0.004853315,0.014644772,Exitoso
105,Producto 106,0.008135811,0.012246609,Exitoso
106,Producto 107,0.000199198,0.016853037,Comun
107,Producto 108,0.002128575,0.00606082,Comun
108,Producto 109,0.004216458,0.009293239,Comun
109,Producto 110,0.008130133,0.004435921,Exitoso
110,Producto 111,0.009140062,0.000224005,Comun
111,Producto 112,0.005065202,0.004343072,Comun
112,Producto 113,0.002652883,0.008624695,Comun
113,Producto 114,0.009668765,0.009222967,Exitoso
114,Producto 115,0.001734436,0.011648604,Comun
115,Producto 116,0.004105332,0.009248547,Comun
116,Producto 117,0.002184675,0.003232726,Comun
117,Producto 118,0.00590715,0.016970007,Exitoso
118,Producto 119,0.009579221,0.014845578,Exitoso
119,Producto 120,0.001932407,0.012094141,Comun
120,Producto 121,0.005409861,0.004433596,Comun
121,Producto 122,0.007593149,0.016734407,Exitoso
122,Producto 123,0.005589795,0.00030744,Comun
123,Producto 124,0.004839181,0.008045306,Comun
124,Producto 125,0.008322907,0.012659564,Exitoso
125,Producto 126,0.001042104,0.014615023,Comun
126,Producto 127,0.001676608,0.015053577,Comun
127,Producto 128,0.008019933,0.003853985,Exitoso
128,Producto 129,0.003062762,0.003948087,Comun
129,Producto 130,0.008369154,0.016039888,Exitoso
130,Producto 131,0.00019015,0.011161951,Comun
131,Producto 132,0.009018694,0.006890649,Exitoso
132,Producto 133,0.007672102,0.012425774,Exitoso
133,Producto 134,0.008877372,0.009614062,Exitoso
134,Producto 135,0.005927571,0.000595527,Comun
135,Producto 136,0.002174075,0.002715688,Comun
136,Producto 137,0.003465356,0.013695876,Comun
137,Producto 138,0.001446384,0.011463913,Comun
138,Producto 139,0.007103975,0.01054111,Comun
139,Producto 140,0.000222563,0.003768897,Comun
140,Producto 141,0.003143409,0.013229993,Comun
141,Producto 142,0.00315449,0.007795664,Comun
142,Producto 143,0.009865458,0.010972164,Exitoso
143,Producto 144,0.008372281,0.001004059,Comun
144,Producto 145,0.007938924,0.006336076,Exitoso
145,Producto 146,0.006907706,0.012222812,Comun
146,Producto 147,0.003810139,0.006789666,Comun
147,Producto 148,0.009030212,0.004897987,Exitoso
148,Producto 149,0.006705102,0.015338536,Exitoso
149,Producto 150,0.009879191,0.015004303,Exitoso
150,Producto 151,0.001481933,0.001118068,No Exitoso
151,Producto 152,0.004311741,0.001907468,Comun
152,Producto 153,0.005552788,0.005656256,Comun
153,Producto 154,0.009088788,0.001477992,Comun
154,Producto 155,0.004828325,0.010850697,Comun
155,Producto 156,0.006008605,0.015159488,Exitoso
156,Producto 157,0.006190414,0.015842048,Exitoso
157,Producto 158,0.007309057,0.00028288,Comun
158,Producto 159,0.000781018,0.005458796,Comun
159,Producto 160,0.004864228,0.016323147,Exitoso
160,Producto 161,0.00080401,0.010910358,Comun
161,Producto 162,0.007449321,0.015920608,Exitoso
162,Producto 163,0.008506703,0.009209378,Exitoso
163,Producto 164,0.001789939,0.002471953,Comun
164,Producto 165,0.009452247,0.0096363,Exitoso
165,Producto 166,0.005626354,0.003553182,Comun
166,Producto 167,0.009369602,0.012532122,Exitoso
167,Producto 168,0.004266643,0.005241911,Comun
168,Producto 169,0.001239173,0.005839031,Comun
169,Producto 170,0.009740546,0.002492385,Exitoso
170,Producto 171,0.002675226,0.013367869,Comun
171,Producto 172,0.006494836,0.006855153,Comun
172,Producto 173,0.005832039,0.004798988,Comun
173,Producto 174,0.003040457,0.011540237,Comun
174,Producto 175,0.000707581,0.006414504,Comun
175,Producto 176,0.007672618,0.010174403,Comun
176,Producto 177,0.004086761,0.0169781,Exitoso
177,Producto 178,0.006164364,0.003837915,Comun
178,Producto 179,0.000982956,0.015082046,Comun
179,Producto 180,0.000246121,0.014899357,Comun
180,Producto 181,0.00751808,0.016121666,Exitoso
181,Producto 182,0.00688776,0.007213026,Comun
182,Producto 183,0.0054031,0.006197823,Comun
183,Producto 184,0.00585892,0.013751148,Exitoso
184,Producto 185,0.000678006,0.011865627,Comun
185,Producto 186,0.009829081,0.014639564,Exitoso
186,Producto 187,0.007269537,0.014376905,Exitoso
187,Producto 188,0.005955006,0.009067278,Comun
188,Producto 189,0.006751933,0.010627874,Comun
189,Producto 190,0.009074828,0.007870896,Exitoso
190,Producto 191,0.002170166,0.00779729,Comun
191,Producto 192,0.004474631,0.015118207,Exitoso
192,Producto 193,0.002082537,0.004593157,Comun
193,Producto 194,0.005037647,0.008802941,Comun
194,Producto 195,0.006708985,0.013472252,Exitoso
195,Producto 196,0.001521225,0.009549023,Comun
196,Producto 197,0.001134178,0.012437465,Comun
197,Producto 198,0.009469545,0.015996419,Exitoso
198,Producto 199,0.008819831,2.76323e-05,Comun
199,Producto 200,0.003387088,0.009537924,Comun
200,Producto 201,0.007695434,0.00684203,Exitoso
201,Producto 202,0.003539876,0.008176132,Comun
202,Producto 203,0.007663343,0.007564786,Exitoso
203,Producto 204,0.009955617,0.008916772,Exitoso
204,Producto 205,0.003452477,0.005663881,Comun
205,Producto 206,0.009877587,0.003872461,Exitoso
206,Producto 207,0.000844879,0.003560187,Comun
207,Producto 208,0.008675807,0.005838857,Exitoso
208,Producto 209,0.006829104,0.004848139,Comun
209,Producto 210,0.003231038,0.007890432,Comun
210,Producto 211,0.008809526,0.002059574,Comun
211,Producto 212,0.000422339,0.001723922,No Exitoso
212,Producto 213,2.24103e-05,0.015528597,Comun
213,Producto 214,0.000569011,0.009518668,Comun
214,Producto 215,0.004982301,0.008161311,Comun
215,Producto 216,0.003377384,0.001196706,Comun
216,Producto 217,0.001494992,0.008954765,Comun
217,Producto 218,0.009159741,0.004806783,Exitoso
218,Producto 219,0.009261278,0.011731642,Exitoso
219,Producto 220,0.001909879,0.012707282,Comun
220,Producto 221,0.000964325,0.009040425,Comun
221,Producto 222,0.003979613,0.013449017,Comun
222,Producto 223,0.004465839,0.009179942,Comun
223,Producto 224,0.001479705,0.014416033,Comun
224,Producto 225,0.002878213,0.014727085,Comun
225,Producto 226,0.006439205,0.000376868,Comun
226,Producto 227,0.000870951,0.000198159,No Exitoso
227,Producto 228,0.006348319,0.012460584,Comun
228,Producto 229,0.005601743,0.004965517,Comun
229,Producto 230,0.007615318,0.008873852,Comun
230,Producto 231,0.005133763,0.005370739,Comun
231,Producto 232,0.000270589,0.011250695,Comun
232,Producto 233,0.00802729,0.004407608,Exitoso
233,Producto 234,0.002729223,0.007633501,Comun
234,Producto 235,0.002888904,0.013612748,Comun
235,Producto 236,0.004128503,0.009881596,Comun
236,Producto 237,0.007099663,0.01590756,Exitoso
237,Producto 238,0.003920356,0.012028605,Comun
238,Producto 239,0.004639074,0.013580527,Comun
239,Producto 240,0.009515128,0.015237489,Exitoso
240,Producto 241,0.000782093,0.006154619,Comun
241,Producto 242,0.005593458,0.013476225,Comun
242,Producto 243,0.007112021,0.004792948,Comun
243,Producto 244,0.008342461,0.013461583,Exitoso
244,Producto 245,0.003209322,0.008790153,Comun
245,Producto 246,0.005248189,0.016507546,Exitoso
246,Producto 247,0.000431947,0.008945879,Comun
247,Producto 248,0.003162113,0.005669146,Comun
248,Producto 249,0.002163383,0.009007276,Comun
249,Producto 250,0.007136371,0.004390724,Comun
250,Producto 251,0.000172468,0.008843008,Comun
251,Producto 252,0.007746003,0.013126785,Exitoso
252,Producto 253,0.002642905,0.013010623,Comun
253,Producto 254,0.007678009,0.00815171,Comun
254,Producto 255,0.001804615,0.005530242,Comun
255,Producto 256,0.006108573,0.016528754,Exitoso
256,Producto 257,0.007043675,0.000988538,Comun
257,Producto 258,0.002685217,0.003555906,Comun
258,Producto 259,0.007640455,0.009220116,Comun
259,Producto 260,0.008923343,0.001930692,Exitoso
260,Producto 261,0.000540163,0.002891033,Comun
261,Producto 262,0.008789719,0.012729142,Exitoso
262,Producto 263,0.00149555,0.003261288,Comun
263,Producto 264,0.002103638,0.010222782,Comun
264,Producto 265,0.001510663,0.007135323,Comun
265,Producto 266,0.00579543,0.013508907,Exitoso
266,Producto 267,0.003259149,0.01448449,Comun
267,Producto 268,0.009026491,0.012335786,Exitoso
268,Producto 269,0.00653407,0.005779208,Comun
269,Producto 270,0.003886821,0.010560689,Comun
270,Producto 271,0.001630988,0.000608706,Comun
271,Producto 272,0.00825169,0.014436077,Exitoso
272,Producto 273,0.009984936,0.014980365,Exitoso
273,Producto 274,0.002922498,0.010970064,Comun
274,Producto 275,0.003431859,0.001477776,Comun
275,Producto 276,0.009099292,0.012619157,Exitoso
276,Producto 277,0.009603923,0.000961433,Comun
277,Producto 278,0.003226052,0.006743749,Comun
278,Producto 279,0.002091613,0.009124692,Comun
279,Producto 280,0.005158401,0.008763319,Comun
280,Producto 281,0.007212547,0.002289222,Comun
281,Producto 282,0.002908583,0.006340998,Comun
282,Producto 283,0.006058924,0.00436871,Comun
283,Producto 284,0.001720972,0.013568252,Comun
284,Producto 285,0.008954173,0.010397961,Exitoso
285,Producto 286,0.007575411,0.015993531,Exitoso
286,Producto 287,0.005787734,0.005175702,Comun
287,Producto 288,0.009647245,0.011099178,Exitoso
288,Producto 289,0.008090109,0.011516746,Exitoso
289,Producto 290,0.000621998,0.002678036,Comun
290,Producto 291,0.005331537,0.007836659,Comun
291,Producto 292,0.006089641,0.010705335,Comun
292,Producto 293,0.000357961,0.008458674,Comun
293,Producto 294,0.003681117,0.00381132,Comun
294,Producto 295,0.005373567,0.004419159,Comun
295,Producto 296,0.001562162,0.014014503,Comun
296,Producto 297,0.000236836,0.000135223,No Exitoso
297,Producto 298,0.004897723,0.009064057,Comun
298,Producto 299,0.005760616,0.013214704,Comun
299,Producto 300,4.33735e-06,0.007818635,Comun
300,Producto 301,0.006587308,0.001290215,Comun
301,Producto 302,0.005142541,0.015351213,Exitoso
302,Producto 303,0.006175428,0.013982287,Exitoso
303,Producto 304,0.00073524,0.003642998,Comun
304,Producto 305,0.005555256,0.006914793,Comun
305,Producto 306,0.00341645,0.004652677,Comun
306,Producto 307,0.002217439,0.008791836,Comun
307,Producto 308,0.003071027,0.009476862,Comun
308,Producto 309,0.000568948,0.00090028,No Exitoso
309,Producto 310,0.000506107,0.017245743,Exitoso
310,Producto 311,0.003047799,0.005862201,Comun
311,Producto 312,0.007892761,0.008048811,Exitoso
312,Producto 313,0.00837496,0.00322146,Comun
313,Producto 314,0.009177502,0.003593972,Exitoso
314,Producto 315,0.002723142,0.005198804,Comun
315,Producto 316,0.009231004,0.006259911,Exitoso
316,Producto 317,0.004777887,0.002255186,Comun
317,Producto 318,0.000465042,0.014895077,Comun
318,Producto 319,0.005883758,0.005424505,Comun
319,Producto 320,0.004201736,0.012244588,Comun
320,Producto 321,0.008548184,0.00300895,Comun
321,Producto 322,0.006882146,0.003224622,Comun
322,Producto 323,0.000670386,0.005104079,Comun
323,Producto 324,0.00718025,0.004166647,Comun
324,Producto 325,0.00740612,0.009603378,Comun
325,Producto 326,0.003680485,0.006330169,Comun
326,Producto 327,0.009328621,0.01514272,Exitoso
327,Producto 328,0.005526294,0.002754625,Comun
328,Producto 329,0.007658178,0.002970429,Comun
329,Producto 330,0.006364995,0.009358144,Comun
330,Producto 331,0.008428332,0.004875152,Exitoso
331,Producto 332,0.005827246,0.002603857,Comun
332,Producto 333,0.000736532,0.012499523,Comun
333,Producto 334,0.009704146,0.007021428,Exitoso
334,Producto 335,0.001780157,0.001033146,Comun
335,Producto 336,0.007472948,0.006110676,Comun
336,Producto 337,0.003320395,0.009053152,Comun
337,Producto 338,0.008410415,0.010300534,Comun
338,Producto 339,0.008725035,0.001329156,Comun
339,Producto 340,0.001500888,0.008624302,Comun
340,Producto 341,0.001849923,0.006381393,Comun
341,Producto 342,0.009483516,0.001757671,Exitoso
342,Producto 343,0.000114634,0.009893077,Comun
343,Producto 344,0.000101291,0.001800018,No Exitoso
344,Producto 345,0.008794927,0.009858766,Exitoso
345,Producto 346,0.009797407,0.001896439,Exitoso
346,Producto 347,0.003535376,0.013982755,Comun
347,Producto 348,0.004409597,0.006061676,Comun
348,Producto 349,0.000399816,0.002825775,Comun
349,Producto 350,0.007632943,0.012086247,Exitoso
350,Producto 351,0.006078845,0.013408445,Exitoso
351,Producto 352,0.006851594,0.003806698,Comun
352,Producto 353,0.007853283,0.016318685,Exitoso
353,Producto 354,0.005025245,0.007515973,Comun
354,Producto 355,0.009735989,0.015765257,Exitoso
355,Producto 356,0.008834313,0.001310171,Comun
356,Producto 357,0.005236519,0.013532133,Comun
357,Producto 358,0.002508918,0.008747212,Comun
358,Producto 359,0.002324786,0.007339445,Comun
359,Producto 360,0.00594004,0.013653985,Exitoso
360,Producto 361,5.60705e-05,0.010122067,Comun
361,Producto 362,0.001705648,0.01276829,Comun
362,Producto 363,6.68187e-05,0.012282147,Comun
363,Producto 364,0.000216316,0.010683147,Comun
364,Producto 365,0.007897251,0.008535588,Comun
365,Producto 366,0.007017149,0.014129601,Exitoso
366,Producto 367,0.000113623,0.009091785,Comun
367,Producto 368,0.00121517,0.016504774,Comun
368,Producto 369,0.007795681,0.015267666,Exitoso
369,Producto 370,0.006266842,0.004125043,Comun
370,Producto 371,0.008470247,0.015348314,Exitoso
371,Producto 372,0.006222052,0.013293632,Exitoso
372,Producto 373,0.007586067,0.005104991,Comun
373,Producto 374,0.001271401,0.012083907,Comun
374,Producto 375,0.009037181,0.004979202,Exitoso
375,Producto 376,0.002220449,0.005798735,Comun
376,Producto 377,0.00866009,0.012701794,Exitoso
377,Producto 378,0.001298042,0.004685715,Comun
378,Producto 379,0.006665144,0.013664875,Exitoso
379,Producto 380,0.000284652,0.014386886,Comun
380,Producto 381,0.000888753,0.00938238,Comun
381,Producto 382,0.00965489,0.0081052,Exitoso
382,Producto 383,4.51885e-06,0.008720347,Comun
383,Producto 384,0.003779984,0.017020421,Exitoso
384,Producto 385,0.004296398,0.011589488,Comun
385,Producto 386,0.009847997,0.001460081,Exitoso
386,Producto 387,0.009889835,0.008922519,Exitoso
387,Producto 388,0.005105628,0.001067326,Comun
388,Producto 389,0.008479082,0.007752027,Exitoso
389,Producto 390,0.004566304,0.002480572,Comun
390,Producto 391,0.007383134,0.002403162,Comun
391,Producto 392,0.004773096,0.00344651,Comun
392,Producto 393,0.008356086,0.004869952,Exitoso
393,Producto 394,0.005416625,0.000235733,Comun
394,Producto 395,0.009640254,0.007352253,Exitoso
395,Producto 396,0.003445858,0.017054304,Exitoso
396,Producto 397,0.008546588,0.01632919,Exitoso
397,Producto 398,0.006980073,0.012198418,Exitoso
398,Producto 399,0.004773971,0.005080082,Comun
399,Producto 400,0.008823409,0.009512914,Exitoso
400,Producto 401,0.009509119,0.002026557,Exitoso
401,Producto 402,0.006963719,0.013005566,Exitoso
402,Producto 403,0.007536179,0.006342212,Comun
403,Producto 404,0.008447101,0.013388234,Exitoso
404,Producto 405,0.003080398,0.001599872,Comun
405,Producto 406,0.001630792,0.010292374,Comun
406,Producto 407,0.004878686,0.015430304,Exitoso
407,Producto 408,0.009850123,0.001322183,Exitoso
408,Producto 409,0.001630211,0.017097127,Exitoso
409,Producto 410,0.000995623,0.015264806,Comun
410,Producto 411,0.008664682,0.007868246,Exitoso
411,Producto 412,0.00916693,0.016737464,Exitoso
412,Producto 413,0.009716795,0.005900644,Exitoso
413,Producto 414,0.004862498,0.014998796,Exitoso
414,Producto 415,0.00417107,0.016739362,Exitoso
415,Producto 416,0.008401027,0.008230004,Exitoso
416,Producto 417,0.006018811,0.011732133,Comun
417,Producto 418,0.003966834,0.002598486,Comun
418,Producto 419,0.004169165,0.006978528,Comun
419,Producto 420,0.00288433,0.015353335,Comun
420,Producto 421,0.007251871,0.005950525,Comun
421,Producto 422,0.004813697,0.006520972,Comun
422,Producto 423,0.007841446,0.01090309,Comun
423,Producto 424,0.004786894,0.01459912,Exitoso
424,Producto 425,0.008309335,0.007807664,Exitoso
425,Producto 426,0.004983438,0.009932535,Comun
426,Producto 427,0.007649145,0.01362661,Exitoso
427,Producto 428,0.002204089,0.005358984,Comun
428,Producto 429,0.00339729,0.011536293,Comun
429,Producto 430,0.000951373,0.002623397,Comun
430,Producto 431,0.002921524,0.002501531,Comun
431,Producto 432,0.00951425,0.013146341,Exitoso
432,Producto 433,0.001048844,0.00168511,No Exitoso
433,Producto 434,0.001642222,0.00031696,Comun
434,Producto 435,0.002481918,0.010495253,Comun
435,Producto 436,0.001933788,0.006565707,Comun
436,Producto 437,0.004673471,0.01480787,Exitoso
437,Producto 438,0.007122156,0.016951722,Exitoso
438,Producto 439,0.004147035,0.009332932,Comun
439,Producto 440,0.001999235,0.004341298,Comun
440,Producto 441,0.00377829,0.006762794,Comun
441,Producto 442,0.000487973,0.004187983,Comun
442,Producto 443,0.002272463,0.015796307,Comun
443,Producto 444,0.007830045,0.006048026,Comun
444,Producto 445,0.00819327,0.003596441,Exitoso
445,Producto 446,0.00978492,0.009770024,Exitoso
446,Producto 447,0.008948979,0.003162405,Exitoso
447,Producto 448,0.002139221,0.010175968,Comun
448,Producto 449,0.00514124,0.007092585,Comun
449,Producto 450,0.001819342,0.01253271,Comun
450,Producto 451,0.002838431,0.000512811,Comun
451,Producto 452,0.008971471,0.010923767,Exitoso
452,Producto 453,0.008658968,0.016854465,Exitoso
453,Producto 454,0.002476044,0.015927375,Comun
454,Producto 455,0.002454479,0.012876975,Comun
455,Producto 456,0.008644706,0.001912618,Comun
456,Producto 457,0.002298419,0.01641622,Exitoso
457,Producto 458,0.001209784,0.016115037,Comun
458,Producto 459,0.002662009,0.015674157,Comun
459,Producto 460,0.003370866,0.013280238,Comun
460,Producto 461,0.006917667,0.01005625,Comun
461,Producto 462,0.005314129,0.003331995,Comun
462,Producto 463,0.001905362,0.011039196,Comun
463,Producto 464,0.002965616,0.005242324,Comun
464,Producto 465,0.004191488,0.010677294,Comun
465,Producto 466,0.008753389,0.011183295,Exitoso
466,Producto 467,0.00442285,0.016761184,Exitoso
467,Producto 468,0.006471511,0.016490597,Exitoso
468,Producto 469,0.002195118,0.002646254,Comun
469,Producto 470,0.000716206,0.015418605,Comun
470,Producto 471,0.003639194,0.011935554,Comun
471,Producto 472,0.000367651,0.010155367,Comun
472,Producto 473,0.008721525,0.000724245,Comun
473,Producto 474,0.008421638,0.012640447,Exitoso
474,Producto 475,0.000629829,0.009396352,Comun
475,Producto 476,0.00738107,0.006275668,Comun
476,Producto 477,0.005936807,0.016470076,Exitoso
477,Producto 478,0.009080135,0.009379908,Exitoso
478,Producto 479,0.001018525,0.003861283,Comun
479,Producto 480,0.002175341,0.015220269,Comun
480,Producto 481,0.008920728,0.008709765,Exitoso
481,Producto 482,0.001063551,0.010913552,Comun
482,Producto 483,0.0051729,0.008377627,Comun
483,Producto 484,0.004907114,0.006992183,Comun
484,Producto 485,0.00173664,0.012160022,Comun
485,Producto 486,0.000258178,0.01010757,Comun
486,Producto 487,0.004691282,0.015060039,Exitoso
487,Producto 488,0.004554018,0.006565473,Comun
488,Producto 489,0.002031658,0.005239728,Comun
489,Producto 490,0.008392214,0.007148057,Exitoso
490,Producto 491,0.000950991,0.006447299,Comun
491,Producto 492,0.003076049,0.007744657,Comun
492,Producto 493,0.006531507,0.005078282,Comun
493,Producto 494,0.008527898,0.003796606,Exitoso
494,Producto 495,0.000573134,0.002005077,No Exitoso
495,Producto 496,0.004322697,0.003220694,Comun
496,Producto 497,0.001585404,0.016019471,Comun
497,Producto 498,0.003214358,0.008528502,Comun
498,Producto 499,0.003180343,0.009610318,Comun
499,Producto 500,0.002722635,0.012708682,Comun
500,Producto 501,0.005280839,0.013199482,Comun
501,Producto 502,0.00561725,0.017378641,Exitoso
502,Producto 503,0.002167031,0.009887602,Comun
503,Producto 504,0.000399446,0.00105159,No Exitoso
504,Producto 505,0.006387194,0.013179018,Exitoso
505,Producto 506,0.006397831,0.016126728,Exitoso
506,Producto 507,0.005391384,0.013257165,Comun
507,Producto 508,0.008174164,0.005437648,Exitoso
508,Producto 509,0.009221522,0.002786261,Exitoso
509,Producto 510,0.009327701,0.014906514,Exitoso
510,Producto 511,0.006967893,0.012753894,Exitoso
511,Producto 512,0.001819166,0.010237406,Comun
512,Producto 513,0.009451835,0.015483385,Exitoso
513,Producto 514,0.006033262,0.002184993,Comun
514,Producto 515,0.000692475,0.006552299,Comun
515,Producto 516,0.004642664,0.002196712,Comun
516,Producto 517,0.004581437,0.015357352,Exitoso
517,Producto 518,0.00571308,0.016068437,Exitoso
518,Producto 519,0.007649714,0.002287287,Comun
519,Producto 520,0.006017027,0.003118108,Comun
520,Producto 521,0.004738804,0.008287931,Comun
521,Producto 522,0.000436217,0.006258214,Comun
522,Producto 523,0.002931015,0.011774888,Comun
523,Producto 524,0.007282078,0.011043099,Comun
524,Producto 525,0.006480349,0.000862783,Comun
525,Producto 526,0.006961679,0.006745003,Comun
526,Producto 527,0.008014394,0.000350801,Comun
527,Producto 528,0.000516692,0.008251886,Comun
528,Producto 529,0.006314701,0.01481506,Exitoso
529,Producto 530,0.00335467,0.004630705,Comun
530,Producto 531,6.06649e-05,0.007401123,Comun
531,Producto 532,0.005318275,0.006867391,Comun
532,Producto 533,0.000329165,0.004396963,Comun
533,Producto 534,0.000223107,0.009781276,Comun
534,Producto 535,0.00115887,0.000542299,No Exitoso
535,Producto 536,0.006076687,0.003855093,Comun
536,Producto 537,0.006341243,0.010405557,Comun
537,Producto 538,0.007907021,0.016986569,Exitoso
538,Producto 539,0.004855436,0.001821916,Comun
539,Producto 540,0.009177621,0.002823533,Exitoso
540,Producto 541,0.002928458,0.010382484,Comun
541,Producto 542,0.007799313,0.011761493,Exitoso
542,Producto 543,0.00380753,0.004016903,Comun
543,Producto 544,0.009504418,0.008550141,Exitoso
544,Producto 545,0.001602711,0.004176783,Comun
545,Producto 546,0.006412575,0.004355569,Comun
546,Producto 547,0.000433762,0.003955969,Comun
547,Producto 548,0.00294337,0.002211037,Comun
548,Producto 549,0.009635184,0.017080311,Exitoso
549,Producto 550,0.000639544,0.007856337,Comun
550,Producto 551,0.007406062,0.007222889,Comun
551,Producto 552,0.002193736,0.010907843,Comun
552,Producto 553,0.005464849,0.00070475,Comun
553,Producto 554,0.000875483,0.005630638,Comun
554,Producto 555,0.002765878,0.005618488,Comun
555,Producto 556,0.006635623,0.015616688,Exitoso
556,Producto 557,0.005610009,0.00502921,Comun
557,Producto 558,0.006435269,0.008284874,Comun
558,Producto 559,0.009551217,0.00132887,Exitoso
559,Producto 560,0.007729408,0.013424577,Exitoso
560,Producto 561,0.007662331,0.007396969,Exitoso
561,Producto 562,0.008822913,0.013681529,Exitoso
562,Producto 563,0.001189924,0.008905348,Comun
563,Producto 564,0.000445899,0.002027566,No Exitoso
